Listing Name,Display Name,Sector,Brief Description,Address,Website,Phone,Social Media 1,Social Media 1 Type,Social Media 2,Social Media 2 Type,Social Media 3,Social Media 3 Type,Status,ID,lon,lat
"Central Bainbridge St. Community Garden
","Central Bainbridge St. Community Garden
",Gardens,"Brooklyn Queens Land Trust member garden - Once a debris-ridden lot littered with the remains of two demolished buildings, eight women volunteers from the neighborhood block association began clearing the land in 1978 to create Central Bainbridge Community Garden. The garden now boasts vibrant green vegetable plots, a gazebo, and shaded seating area where local residents gather for cookouts and other social events. The garden also regularly hosts visits from students from P.S. 40.","277-279 Bainbridge Street, Brooklyn, Bed-Stuy, 11233",https://bqlt.org/garden/central-bainbridge-st-community-garden,,,,,,,,,1355,-73.925649,40.6818
"Classon Ful-Gate Block Association Garden
","Classon Ful-Gate Block Association Garden
",Gardens,"Brooklyn Queens Land Trust member garden - Back in 1968, a young man name Joe Robinson took on the task of transforming a debris-filled lot into a vegetable garden. Together with Willie Ford and Leroy and Gloria Fashion, he worked tirelessly to create a beautiful space that the community has cherished for half a century. The garden became a member of Green Thumb in 1978 and the Classon Ful-Gate Block Association was formed the following year. In 1983, the garden was protected by the Land Trust Group and, in 1999, the garden was further protected by the Trust for Public Land. A large mural on the garden’s back wall pays homage to past and present residents of the block. A memorial garden featuring newly planted trees with the names of senior garden members and those who have passed on was built to remember those who worked so hard to bring this garden to life.","472-474 Classon Avenue, Brooklyn, Clinton Hill, NY 11238",https://bqlt.org/garden/classon-ful-gate-block-association-garden,,,,,,,,,1356,-73.95928,40.683961
"Clifton Place Block Association Garden
","Clifton Place Block Association Garden
",Gardens,Brooklyn Queens Land Trust member garden - The purpose of the Clifton Place Garden is to create a green space that satisfies the aesthetic and planting needs of gardeners and would-be gardeners in the surrounding community. It offers a venue for community members to participate in something civic and to create something beautiful. It empowers them to directly affect their surroundings.,"289 Grand Avenue, Brooklyn, Clinton Hill, NY 11238",https://cliftongarden.wordpress.com/,,,,,,,,,1357,-73.962364,40.687622
"Concerned Citizens of Grove St. Community Garden
","Concerned Citizens of Grove St. Community Garden
",Gardens,Brooklyn Queens Land Trust member garden.,"72 Grove Street, Brooklyn, Bushwick, NY 11221",https://bqlt.org/garden/concerned-citizens-of-grove-street,,,,,,,,,1358,-73.921527,40.692213
"Contented Hart Garden
","Contented Hart Garden
",Gardens,"Brooklyn Queens Land Trust member garden - Contented Garden was originally started in 1965 by John Stewart, the father of Rosalyn Forbes. Rosalyn is a current member of the community. Contented Garden was renamed Contented Hart Garden in honor of Qwendolyn Hart, its founder. In 2002, Edna Wade joined the garden and along with the garden group worked tirelessly to transform the garden and area into the beautiful space that exists today.","1475 Bushwick Avenue, Brooklyn, Bushwick, NY, 11207",https://bqlt.org/garden/contented-hart-garden,,,,,,,,,1359,-73.907197,40.683583
"David Foulke Memorial Garden
","David Foulke Memorial Garden
",Gardens,"Brooklyn Queens Land Trust member garden - In 1971, this vacant lot was a dumping ground for garbage and an illegal parking lot. The 200 Bergen Street Block Association organized local residents to clean up the site and create a neighborhood pocket park, which at first consisted of a modest vegetable garden. In 1980, working with the Magnolia Tree Earth Center of Bedford Stuyvesant, the association and residents created the garden’s current landscaped design, which features a pathway and seating area surrounded by trees and shrubs. The garden was transformed into the beautiful flower garden and woodland area it is today by neighborhood resident David Foulke. For years, David organized events that ranged from children's parades to October festivals to Christmas caroling. In 1994, the garden was named in his honor. In addition, a dogwood tree was planted to commemorate Noel Pointer, a gifted violinist who often serenaded gardeners. The local community continues to carry on the legacy the garden’s founders and enjoy the tranquil green space.","248-250 Bergen Street, Brooklyn, Boerum Hill, NY, 11217",http://bergenstgarden.blogspot.com/,,,,,,,,,1360,-73.984384,40.684045
"Dunton Civic Assoc. Community Garden
","Dunton Civic Assoc. Community Garden
",Gardens,"Brooklyn Queens Land Trust member garden - In 1984, residents of all ages from the Dunton Block and Civic Association began working to turn what was then a vacant lot into a beautiful community garden. The garden now serves as a town square for the area, providing a space for neighbors of all ages to relax and socialize.
","143-01 Shore Avenue, Queens, Jamaica, NY, 11435",https://duntoncivic.wixsite.com/garden,,,,,,,,,1361,-73.8058,40.689544
"Euclid/Pine St. Block Assoc. Garden
","Euclid/Pine St. Block Assoc. Garden
",Gardens,"Brooklyn Queens Land Trust member garden - In 1980, neighbors began organizing to turn this small corner lot in East New York into a thriving community farm. Today, the garden boasts harvests of fresh vegetables, fruits, and flowers. Many of the elders who care for the space have lived in the neighborhood since they were children. Children from local school PS 242 pay visits to the garden to help with cleanup and to learn about planting vegetables and fruits.","1308 Dumont Avenue, Brooklyn East New York, NY, 11208",https://bqlt.org/garden/euclid-pine-street-block-association-garden,,,,,,,,,1362,-73.869717,40.669736
"Garden of Angels
","Garden of Angels
",Gardens,"Brooklyn Queens Land Trust member garden - Garden of Angels is a small vegetable and flower garden started by the Greene Avenue Block Association in 1980. Originally called the Greene Block Association Garden, Garden of Angels produces food that is shared with local senior citizens and the homeless. The garden provides space for recreation, meetings, and social gatherings, and brings tremendous beauty to this immaculate block of brownstones. Garden of Angels is one of the oldest, consistently active community gardens in Bedford-Stuyvesant.","978 Greene Avenue, Brooklyn, Bed-Stuy, NY 11221",https://bqlt.org/garden/garden-of-angels,,,,,,,,,1363,-73.928588,40.690717
"Greene Garden
","Greene Garden
",Gardens,"Brooklyn Queens Land Trust member garden - Greene Garden is a member-run community garden in Fort Greene, at the corner of Dekalb and South Portland. We welcome new members, and visitors and neighbors are welcome whenever the garden is open.
Our garden is a community effort. We share stewardship and responsibility for the garden – including clean up and planting, working with school groups, and arts and music programming for everyone to enjoy.","2 South Portland Avenue, Brooklyn, Fort Greene, NY 11217","Website: https://greenegardenblog.wordpress.com/
Instagram: https://www.instagram.com/greenegardenbrooklyn/",,,,,,,,,1364,-73.975314,40.689507
